region,scenario,sector,indicator,year,value,unit,version,comments,source
VNM,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,97.47,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
USA,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,6453.88,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
USA,Historical,LULUCF,Emissions (absolute),1990,-886.14,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
UKR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,942.57,MtCO2e (GWP-AR4),2021-11-01,"Historical emissions, excl forestry",Latest country assessment
UKR,Historical,LULUCF,Emissions (absolute),1990,-58.35,MtCO2e (GWP-AR4),2021-11-01,Historical emissions/removals from forestry,Latest country assessment
GBR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,791.86,MtCO2e (GWP-AR4),2023-08-01,"Historical emissions, excl forestry",Latest country assessment
GBR,Historical,LULUCF,Emissions (absolute),1990,10.96,MtCO2e (GWP-AR4),2023-08-01,Historical emissions/removals from forestry,Latest country assessment
ARE,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,61.7,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
ARE,Historical,LULUCF,Emissions (absolute),1990,0,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
TUR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,219.72,MtCO2e (GWP-AR4),2023-05-01,"Historical emissions, excl forestry",Latest country assessment
TUR,Historical,LULUCF,Emissions (absolute),1990,-55.74,MtCO2e (GWP-AR4),2023-05-01,Historical emissions/removals from forestry,Latest country assessment
THA,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,149,MtCO2e (GWP-AR4),2023-10-01,"Historical emissions, excl forestry",Latest country assessment
CHE,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,53.38,MtCO2e (GWP-AR4),2023-06-01,"Historical emissions, excl forestry",Latest country assessment
CHE,Historical,LULUCF,Emissions (absolute),1990,-1.76,MtCO2e (GWP-AR4),2023-06-01,Historical emissions/removals from forestry,Latest country assessment
KOR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,301.12,MtCO2e (GWP-AR4),2023-06-01,"Historical emissions, excl forestry",Latest country assessment
KOR,Historical,LULUCF,Emissions (absolute),1990,-37.76,MtCO2e (GWP-AR4),2023-06-01,Historical emissions/removals from forestry,Latest country assessment
SGP,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,21.05,MtCO2e (GWP-AR4),2023-09-01,"Historical emissions, excl forestry",Latest country assessment
SAU,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,226,MtCO2e (GWP-AR4),2023-09-01,"Historical emissions, excl forestry",Latest country assessment
SAU,Historical,LULUCF,Emissions (absolute),1990,-15.24,MtCO2e (GWP-AR4),2023-09-01,Historical emissions/removals from forestry,Latest country assessment
RUS,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,3166.58,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
RUS,Historical,LULUCF,Emissions (absolute),1990,-77.42,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
PHL,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,108.3,MtCO2e (GWP-AR4),2023-05-01,"Historical emissions, excl forestry",Latest country assessment
PER,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,53.5,MtCO2e (GWP-AR4),2022-09-01,"Historical emissions, excl forestry",Latest country assessment
NOR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,50.75,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
NOR,Historical,LULUCF,Emissions (absolute),1990,-9.82,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
NGA,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,196.61,MtCO2e (GWP-AR4),2023-06-01,"Historical emissions, excl forestry",Latest country assessment
NZL,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,65.2,MtCO2e (GWP-AR4),2022-10-01,"Historical emissions, excl forestry",Latest country assessment
NZL,Historical,LULUCF,Emissions (absolute),1990,-21.23,MtCO2e (GWP-AR4),2022-10-01,Historical emissions/removals from forestry,Latest country assessment
NPL,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,23.5,MtCO2e (GWP-AR4),2023-08-01,"Historical emissions, excl forestry",Latest country assessment
MAR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,36.6,MtCO2e (GWP-AR4),2023-04-01,"Historical emissions, excl forestry",Latest country assessment
MEX,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,457.62,MtCO2e (GWP-AR4),2023-10-01,"Historical emissions, excl forestry",Latest country assessment
MEX,Historical,LULUCF,Emissions (absolute),1990,-147.57,MtCO2e (GWP-AR4),2023-10-01,Historical emissions/removals from forestry,Latest country assessment
KEN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,41.63,MtCO2e (GWP-AR4),2022-05-01,"Historical emissions, excl forestry",Latest country assessment
KAZ,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,386.68,MtCO2e (GWP-AR4),2023-09-01,"Historical emissions, excl forestry",Latest country assessment
KAZ,Historical,LULUCF,Emissions (absolute),1990,-6.5,MtCO2e (GWP-AR4),2023-09-01,Historical emissions/removals from forestry,Latest country assessment
JPN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,1269.33,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
